被引年份,科目,总篇数,出版年份,出版年份数据,1是错误数据
2016,   社会科学Ⅰ辑 ,76691篇,2013,11993,0
2016,   社会科学Ⅱ辑 ,115100篇,2013,16281,0
2016,   基础科学 ,74965篇,2006,4726,0
2016,   工程科技Ⅰ辑 ,152903篇,2006,7856,0
2016,   工程科技Ⅱ辑 ,203268篇,2006,11688,0
2016,   农业科技 ,65171篇,2005,2714,0
2016,   医药卫生科技 ,82594篇,2005,1834,0
2016,   哲学与人文科学 ,111926篇,2006,6115,0
2016,   信息科技 ,186994篇,2006,9508,0
2016,   经济与管理科学 ,185613篇,2006,9061,0
2016,   社会科学Ⅰ辑 ,76691篇,2006,3121,0
2016,   社会科学Ⅱ辑 ,115100篇,2006,5820,0
2016,   基础科学 ,74965篇,2005,3082,0
2016,   工程科技Ⅰ辑 ,152903篇,2007,10170,0
2016,   工程科技Ⅱ辑 ,203268篇,2007,15173,0
2016,   农业科技 ,65171篇,2006,3530,0
2016,   医药卫生科技 ,82594篇,2006,2887,0
2016,   哲学与人文科学 ,111926篇,2007,8238,0
2016,   信息科技 ,186994篇,2007,12778,0
2016,   经济与管理科学 ,185613篇,2007,12172,0
2016,   社会科学Ⅰ辑 ,76691篇,2007,4518,0
2016,   社会科学Ⅱ辑 ,115100篇,2007,7760,0
2016,   基础科学 ,74965篇,2004,2017,0
2016,   工程科技Ⅰ辑 ,152903篇,2005,5460,0
2016,   工程科技Ⅱ辑 ,203268篇,2005,8094,0
2016,   农业科技 ,65171篇,2004,1975,0
2016,   医药卫生科技 ,82594篇,2004,1186,0
2016,   哲学与人文科学 ,111926篇,2005,4055,0
2016,   信息科技 ,186994篇,2005,5840,0
2016,   经济与管理科学 ,185613篇,2005,6215,0
2016,   社会科学Ⅰ辑 ,76691篇,2005,2180,0
2016,   社会科学Ⅱ辑 ,115100篇,2005,3603,0
2016,   基础科学 ,74965篇,2003,1167,0
2016,   工程科技Ⅰ辑 ,152903篇,2001,601,0
2016,   工程科技Ⅱ辑 ,203268篇,2001,780,0
2016,   农业科技 ,65171篇,2000,194,0
2016,   医药卫生科技 ,82594篇,2000,73,0
2016,   哲学与人文科学 ,111926篇,2001,559,0
2016,   信息科技 ,186994篇,2001,606,0
2016,   经济与管理科学 ,185613篇,2001,650,0
2016,   社会科学Ⅰ辑 ,76691篇,2001,234,0
2016,   社会科学Ⅱ辑 ,115100篇,2001,445,0
2016,   基础科学 ,74965篇,2002,845,0
2016,   工程科技Ⅰ辑 ,152903篇,2002,1373,0
2016,   工程科技Ⅱ辑 ,203268篇,2002,1817,0
2016,   农业科技 ,65171篇,2001,491,0
2016,   医药卫生科技 ,82594篇,2001,235,0
2016,   哲学与人文科学 ,111926篇,2002,1088,0
2016,   信息科技 ,186994篇,2002,1476,0
2016,   经济与管理科学 ,185613篇,2002,1384,0
2016,   社会科学Ⅰ辑 ,76691篇,2002,459,0
2016,   社会科学Ⅱ辑 ,115100篇,2002,839,0
2016,   基础科学 ,74965篇,2001,447,0
2016,   工程科技Ⅰ辑 ,152903篇,1999,33,0
2016,   工程科技Ⅱ辑 ,203268篇,1999,40,0
2016,   农业科技 ,65171篇,1998,6,0
2016,   医药卫生科技 ,82594篇,1998,8,0
2016,   哲学与人文科学 ,111926篇,1999,18,0
2016,   信息科技 ,186994篇,1999,30,0
2016,   经济与管理科学 ,185613篇,1999,16,0
2016,   社会科学Ⅰ辑 ,76691篇,1999,6,0
2016,   社会科学Ⅱ辑 ,115100篇,1999,5,0
2016,   基础科学 ,74965篇,2000,177,0
2016,   工程科技Ⅰ辑 ,152903篇,2000,238,0
2016,   工程科技Ⅱ辑 ,203268篇,2000,341,0
2016,   农业科技 ,65171篇,1999,16,0
2016,   医药卫生科技 ,82594篇,1999,9,0
2016,   哲学与人文科学 ,111926篇,2000,271,0
2016,   信息科技 ,186994篇,2000,236,0
2016,   经济与管理科学 ,185613篇,2000,274,0
2016,   社会科学Ⅰ辑 ,76691篇,2000,94,0
2016,   社会科学Ⅱ辑 ,115100篇,2000,156,0
2016,   基础科学 ,74965篇,1999,28,0
2016,   工程科技Ⅰ辑 ,152903篇,2003,2159,0
2016,   工程科技Ⅱ辑 ,203268篇,2003,3111,0
2016,   农业科技 ,65171篇,2002,721,0
2016,   医药卫生科技 ,82594篇,2002,486,0
2016,   哲学与人文科学 ,111926篇,2003,1892,0
2016,   信息科技 ,186994篇,2003,2112,0
2016,   经济与管理科学 ,185613篇,2003,2374,0
2016,   社会科学Ⅰ辑 ,76691篇,2003,777,0
2016,   社会科学Ⅱ辑 ,115100篇,2003,1565,0
2016,   基础科学 ,74965篇,1998,18,0
2016,   工程科技Ⅰ辑 ,152903篇,2004,3850,0
2016,   工程科技Ⅱ辑 ,203268篇,2004,5625,0
2016,   农业科技 ,65171篇,2003,1303,0
2016,   医药卫生科技 ,82594篇,2003,756,0
2016,   哲学与人文科学 ,111926篇,2004,3065,0
2016,   信息科技 ,186994篇,2004,3850,0
2016,   经济与管理科学 ,185613篇,2004,4143,0
2016,   社会科学Ⅰ辑 ,76691篇,2004,1410,0
2016,   社会科学Ⅱ辑 ,115100篇,2004,2409,0
2016,   基础科学 ,74965篇,1997,9,0
2016,   工程科技Ⅰ辑 ,152903篇,1998,17,0
2016,   工程科技Ⅱ辑 ,203268篇,1998,11,0
2016,   农业科技 ,65171篇,1997,6,0
2016,   医药卫生科技 ,82594篇,1997,11,0
2016,   哲学与人文科学 ,111926篇,1998,7,0
2016,   信息科技 ,186994篇,1998,38,0
2016,   经济与管理科学 ,185613篇,1998,9,0
2016,   社会科学Ⅰ辑 ,76691篇,1998,5,0
2016,   社会科学Ⅱ辑 ,115100篇,1998,2,0
2015,   基础科学 ,65543篇,2015,139,0
2015,   工程科技Ⅰ辑 ,130394篇,2015,344,0
2015,   工程科技Ⅱ辑 ,176350篇,2015,537,0
2015,   农业科技 ,55482篇,2015,85,0
2015,   医药卫生科技 ,65215篇,2015,121,0
2015,   哲学与人文科学 ,92786篇,2015,187,0
2015,   信息科技 ,168256篇,2015,784,0
2015,   经济与管理科学 ,165738篇,2016,1,1
2015,   社会科学Ⅰ辑 ,66871篇,2015,177,0
2015,   社会科学Ⅱ辑 ,97550篇,2016,3,1
2015,   基础科学 ,65543篇,2014,5188,0
2015,   工程科技Ⅰ辑 ,130394篇,2014,11260,0
2015,   工程科技Ⅱ辑 ,176350篇,2014,14720,0
2015,   农业科技 ,55482篇,2014,4989,0
2015,   医药卫生科技 ,65215篇,2014,7477,0
2015,   哲学与人文科学 ,92786篇,2014,6664,0
2015,   信息科技 ,168256篇,2014,13918,0
2015,   经济与管理科学 ,165738篇,2015,689,0
2015,   社会科学Ⅰ辑 ,66871篇,2014,6115,0
2015,   社会科学Ⅱ辑 ,97550篇,2015,364,0
2015,   基础科学 ,65543篇,2013,8270,0
2015,   工程科技Ⅰ辑 ,130394篇,2013,17716,0
2015,   工程科技Ⅱ辑 ,176350篇,2013,24177,0
2015,   农业科技 ,55482篇,2013,7731,0
2015,   医药卫生科技 ,65215篇,2013,10682,0
2015,   哲学与人文科学 ,92786篇,2013,12451,0
2015,   信息科技 ,168256篇,2013,24813,0
2015,   经济与管理科学 ,165738篇,2014,14285,0
2015,   社会科学Ⅰ辑 ,66871篇,2013,10696,0
2015,   社会科学Ⅱ辑 ,97550篇,2014,9527,0
2015,   基础科学 ,65543篇,2012,8022,0
2015,   工程科技Ⅰ辑 ,130394篇,2012,19184,0
2015,   工程科技Ⅱ辑 ,176350篇,2012,23965,0
2015,   农业科技 ,55482篇,2012,7231,0
2015,   医药卫生科技 ,65215篇,2012,10400,0
2015,   哲学与人文科学 ,92786篇,2012,13778,0
2015,   信息科技 ,168256篇,2012,23019,0
2015,   经济与管理科学 ,165738篇,2013,22366,0
2015,   社会科学Ⅰ辑 ,66871篇,2012,10628,0
2015,   社会科学Ⅱ辑 ,97550篇,2013,14134,0
2015,   基础科学 ,65543篇,2011,6756,0
2015,   工程科技Ⅰ辑 ,130394篇,2007,10153,0
2015,   工程科技Ⅱ辑 ,176350篇,2007,15463,0
2015,   农业科技 ,55482篇,2007,4249,0
2015,   医药卫生科技 ,65215篇,2007,4232,0
2015,   哲学与人文科学 ,92786篇,2007,7861,0
2015,   信息科技 ,168256篇,2007,13522,0
2015,   经济与管理科学 ,165738篇,2008,14492,0
2015,   社会科学Ⅰ辑 ,66871篇,2007,4718,0
2015,   社会科学Ⅱ辑 ,97550篇,2008,7973,0
2015,   基础科学 ,65543篇,2010,6433,0
2015,   工程科技Ⅰ辑 ,130394篇,2008,10746,0
2015,   工程科技Ⅱ辑 ,176350篇,2008,14900,0
2015,   农业科技 ,55482篇,2008,4786,0
2015,   医药卫生科技 ,65215篇,2008,4624,0
2015,   哲学与人文科学 ,92786篇,2008,7671,0
2015,   信息科技 ,168256篇,2008,14966,0
2015,   经济与管理科学 ,165738篇,2009,14561,0
2015,   社会科学Ⅰ辑 ,66871篇,2008,4848,0
2015,   社会科学Ⅱ辑 ,97550篇,2009,7924,0
2015,   基础科学 ,65543篇,2009,5979,0
2015,   工程科技Ⅰ辑 ,130394篇,2006,7936,0
2015,   工程科技Ⅱ辑 ,176350篇,2006,11889,0
2015,   农业科技 ,55482篇,2006,3395,0
2015,   医药卫生科技 ,65215篇,2006,2799,0
2015,   哲学与人文科学 ,92786篇,2006,5613,0
2015,   信息科技 ,168256篇,2006,10183,0
2015,   经济与管理科学 ,165738篇,2007,12935,0
2015,   社会科学Ⅰ辑 ,66871篇,2006,3424,0
2015,   社会科学Ⅱ辑 ,97550篇,2007,7817,0
2015,   基础科学 ,65543篇,2008,6419,0
2015,   工程科技Ⅰ辑 ,130394篇,2009,11206,0
2015,   工程科技Ⅱ辑 ,176350篇,2009,15250,0
2015,   农业科技 ,55482篇,2009,4887,0
2015,   医药卫生科技 ,65215篇,2009,5680,0
2015,   哲学与人文科学 ,92786篇,2009,7808,0
2015,   信息科技 ,168256篇,2009,16184,0
2015,   经济与管理科学 ,165738篇,2010,17543,0
2015,   社会科学Ⅰ辑 ,66871篇,2009,5029,0
2015,   社会科学Ⅱ辑 ,97550篇,2010,8842,0
2015,   基础科学 ,65543篇,2007,5886,0
2015,   工程科技Ⅰ辑 ,130394篇,2010,13262,0
2015,   工程科技Ⅱ辑 ,176350篇,2010,16778,0
2015,   农业科技 ,55482篇,2010,5324,0
2015,   医药卫生科技 ,65215篇,2010,6981,0
2015,   哲学与人文科学 ,92786篇,2010,9173,0
2015,   信息科技 ,168256篇,2010,17430,0
2015,   经济与管理科学 ,165738篇,2011,18953,0
2015,   社会科学Ⅰ辑 ,66871篇,2010,6950,0
2015,   社会科学Ⅱ辑 ,97550篇,2011,11949,0
2015,   基础科学 ,65543篇,2006,4727,0
2015,   工程科技Ⅰ辑 ,130394篇,2011,14776,0
2015,   工程科技Ⅱ辑 ,176350篇,2011,18368,0
2015,   农业科技 ,55482篇,2011,5534,0
2015,   医药卫生科技 ,65215篇,2011,7830,0
2015,   哲学与人文科学 ,92786篇,2011,11153,0
2015,   信息科技 ,168256篇,2011,18296,0
2015,   经济与管理科学 ,165738篇,2012,24051,0
2015,   社会科学Ⅰ辑 ,66871篇,2011,8872,0
2015,   社会科学Ⅱ辑 ,97550篇,2012,13932,0
2015,   基础科学 ,65543篇,2005,3040,0
2015,   工程科技Ⅰ辑 ,130394篇,2004,3899,0
2015,   工程科技Ⅱ辑 ,176350篇,2004,5764,0
2015,   农业科技 ,55482篇,2004,1916,0
2015,   医药卫生科技 ,65215篇,2004,1189,0
2015,   哲学与人文科学 ,92786篇,2004,2932,0
2015,   信息科技 ,168256篇,2004,4100,0
2015,   经济与管理科学 ,165738篇,2005,6604,0
2015,   社会科学Ⅰ辑 ,66871篇,2004,1511,0
2015,   社会科学Ⅱ辑 ,97550篇,2005,3639,0
2015,   基础科学 ,65543篇,2004,2016,0
2015,   工程科技Ⅰ辑 ,130394篇,2005,5485,0
2015,   工程科技Ⅱ辑 ,176350篇,2005,8290,0
2015,   农业科技 ,55482篇,2005,2697,0
2015,   医药卫生科技 ,65215篇,2005,1778,0
2015,   哲学与人文科学 ,92786篇,2005,3782,0
2015,   信息科技 ,168256篇,2005,6293,0
2015,   经济与管理科学 ,165738篇,2006,9757,0
2015,   社会科学Ⅰ辑 ,66871篇,2005,2268,0
2015,   社会科学Ⅱ辑 ,97550篇,2006,5897,0
2015,   基础科学 ,65543篇,2003,1206,0
2015,   工程科技Ⅰ辑 ,130394篇,2003,2144,0
2015,   工程科技Ⅱ辑 ,176350篇,2003,3162,0
2015,   农业科技 ,55482篇,2003,1241,0
2015,   医药卫生科技 ,65215篇,2003,660,0
2015,   哲学与人文科学 ,92786篇,2003,1770,0
2015,   信息科技 ,168256篇,2003,2230,0
2015,   经济与管理科学 ,165738篇,2004,4394,0
2015,   社会科学Ⅰ辑 ,66871篇,2003,777,0
2015,   社会科学Ⅱ辑 ,97550篇,2004,2457,0
2015,   基础科学 ,65543篇,2002,786,0
2015,   工程科技Ⅰ辑 ,130394篇,1999,23,0
2015,   工程科技Ⅱ辑 ,176350篇,1999,39,0
2015,   农业科技 ,55482篇,1999,10,0
2015,   医药卫生科技 ,65215篇,1999,6,0
2015,   哲学与人文科学 ,92786篇,1999,19,0
2015,   信息科技 ,168256篇,1999,29,0
2015,   经济与管理科学 ,165738篇,2000,300,0
2015,   社会科学Ⅰ辑 ,66871篇,1999,4,0
2015,   社会科学Ⅱ辑 ,97550篇,2000,134,0
2015,   基础科学 ,65543篇,2001,414,0
2015,   工程科技Ⅰ辑 ,130394篇,2000,229,0
2015,   工程科技Ⅱ辑 ,176350篇,2000,340,0
2015,   农业科技 ,55482篇,2000,213,0
2015,   医药卫生科技 ,65215篇,2000,55,0
2015,   哲学与人文科学 ,92786篇,2000,234,0
2015,   信息科技 ,168256篇,2000,243,0
2015,   经济与管理科学 ,165738篇,2001,710,0
2015,   社会科学Ⅰ辑 ,66871篇,2000,110,0
2015,   社会科学Ⅱ辑 ,97550篇,2001,477,0
2015,   基础科学 ,65543篇,2000,170,0
2015,   工程科技Ⅰ辑 ,130394篇,1997,18,0
2015,   工程科技Ⅱ辑 ,176350篇,1997,8,0
2015,   农业科技 ,55482篇,1997,4,0
2015,   医药卫生科技 ,65215篇,1997,15,0
2015,   哲学与人文科学 ,92786篇,1997,13,0
2015,   信息科技 ,168256篇,1997,6,0
2015,   经济与管理科学 ,165738篇,1998,5,0
2015,   社会科学Ⅰ辑 ,66871篇,1997,4,0
2015,   社会科学Ⅱ辑 ,97550篇,1998,2,0
2015,   基础科学 ,65543篇,1999,19,0
2015,   工程科技Ⅰ辑 ,130394篇,1998,15,0
2015,   工程科技Ⅱ辑 ,176350篇,1998,13,0
2015,   农业科技 ,55482篇,1998,8,0
2015,   医药卫生科技 ,65215篇,1998,8,0
2015,   哲学与人文科学 ,92786篇,1998,6,0
2015,   信息科技 ,168256篇,1998,30,0
2015,   经济与管理科学 ,165738篇,1999,22,0
2015,   社会科学Ⅰ辑 ,66871篇,1998,5,0
2015,   社会科学Ⅱ辑 ,97550篇,1999,4,0
2015,   基础科学 ,65543篇,1998,16,0
2015,   工程科技Ⅰ辑 ,130394篇,2001,584,0
2015,   工程科技Ⅱ辑 ,176350篇,2001,816,0
2015,   农业科技 ,55482篇,2001,489,0
2015,   医药卫生科技 ,65215篇,2001,220,0
2015,   哲学与人文科学 ,92786篇,2001,591,0
2015,   信息科技 ,168256篇,2001,636,0
2015,   经济与管理科学 ,165738篇,2002,1498,0
2015,   社会科学Ⅰ辑 ,66871篇,2001,262,0
2015,   社会科学Ⅱ辑 ,97550篇,2002,871,0
2015,   基础科学 ,65543篇,1997,9,0
2015,   工程科技Ⅰ辑 ,130394篇,2002,1377,0
2015,   工程科技Ⅱ辑 ,176350篇,2002,1838,0
2015,   农业科技 ,55482篇,2002,681,0
2015,   医药卫生科技 ,65215篇,2002,432,0
2015,   哲学与人文科学 ,92786篇,2002,1063,0
2015,   信息科技 ,168256篇,2002,1562,0
2015,   经济与管理科学 ,165738篇,2003,2564,0
2015,   社会科学Ⅰ辑 ,66871篇,2002,460,0
2015,   社会科学Ⅱ辑 ,97550篇,2003,1600,0
2015,   基础科学 ,65543篇,1996,6,0
2015,   工程科技Ⅰ辑 ,130394篇,1996,8,0
2015,   工程科技Ⅱ辑 ,176350篇,1996,7,0
2015,   农业科技 ,55482篇,1996,9,0
2015,   医药卫生科技 ,65215篇,1996,5,0
2015,   哲学与人文科学 ,92786篇,1996,3,0
2015,   信息科技 ,168256篇,1996,5,0
2015,   经济与管理科学 ,165738篇,1997,4,0
2015,   社会科学Ⅰ辑 ,66871篇,1996,5,0
2015,   社会科学Ⅱ辑 ,97550篇,1997,3,0
2014,   基础科学 ,56819篇,2014,244,0
2014,   工程科技Ⅰ辑 ,106664篇,2014,466,0
2014,   工程科技Ⅱ辑 ,149897篇,2015,2,1
2014,   农业科技 ,44670篇,2014,128,0
2014,   医药卫生科技 ,48550篇,2014,198,0
2014,   哲学与人文科学 ,48550篇,2014,318,0
2014,   社会科学Ⅰ辑 ,79066篇,2014,318,0
2014,   信息科技 ,153374篇,2015,5,1
2014,   经济与管理科学 ,149797篇,2014,1047,0
2014,   社会科学Ⅱ辑 ,81324篇,2015,2,1
2014,   基础科学 ,56819篇,2013,4976,0
2014,   工程科技Ⅰ辑 ,106664篇,2013,9680,0
2014,   工程科技Ⅱ辑 ,149897篇,2014,775,0
2014,   农业科技 ,44670篇,2013,4296,0
2014,   医药卫生科技 ,48550篇,2013,5421,0
2014,   哲学与人文科学 ,48550篇,2013,5578,0
2014,   社会科学Ⅰ辑 ,79066篇,2013,5578,0
2014,   信息科技 ,153374篇,2014,1226,0
2014,   经济与管理科学 ,149797篇,2013,12288,0
2014,   社会科学Ⅱ辑 ,81324篇,2014,598,0
2014,   基础科学 ,56819篇,2012,7207,0
2014,   工程科技Ⅰ辑 ,106664篇,2012,16951,0
2014,   工程科技Ⅱ辑 ,149897篇,2013,13754,0
2014,   农业科技 ,44670篇,2012,6181,0
2014,   医药卫生科技 ,48550篇,2012,9029,0
2014,   哲学与人文科学 ,48550篇,2012,12295,0
2014,   社会科学Ⅰ辑 ,79066篇,2012,12295,0
2014,   信息科技 ,153374篇,2013,15576,0
2014,   经济与管理科学 ,149797篇,2012,23480,0
2014,   社会科学Ⅱ辑 ,81324篇,2013,7146,0
2014,   基础科学 ,56819篇,2011,6659,0
2014,   工程科技Ⅰ辑 ,106664篇,2011,13901,0
2014,   工程科技Ⅱ辑 ,149897篇,2012,22024,0
2014,   农业科技 ,44670篇,2011,5306,0
2014,   医药卫生科技 ,48550篇,2011,7050,0
2014,   哲学与人文科学 ,48550篇,2011,11107,0
2014,   社会科学Ⅰ辑 ,79066篇,2011,11107,0
2014,   信息科技 ,153374篇,2012,22435,0
2014,   经济与管理科学 ,149797篇,2011,20436,0
2014,   社会科学Ⅱ辑 ,81324篇,2012,12774,0
2014,   基础科学 ,56819篇,2010,6391,0
2014,   工程科技Ⅰ辑 ,106664篇,2006,7781,0
2014,   工程科技Ⅱ辑 ,149897篇,2007,15636,0
2014,   农业科技 ,44670篇,2006,3256,0
2014,   医药卫生科技 ,48550篇,2006,2652,0
2014,   哲学与人文科学 ,48550篇,2006,5899,0
2014,   社会科学Ⅰ辑 ,79066篇,2006,5899,0
2014,   信息科技 ,153374篇,2007,14753,0
2014,   经济与管理科学 ,149797篇,2006,10553,0
2014,   社会科学Ⅱ辑 ,81324篇,2007,7946,0
2014,   基础科学 ,56819篇,2009,6145,0
2014,   工程科技Ⅰ辑 ,106664篇,2007,10033,0
2014,   工程科技Ⅱ辑 ,149897篇,2008,15183,0
2014,   农业科技 ,44670篇,2007,4093,0
2014,   医药卫生科技 ,48550篇,2007,3930,0
2014,   哲学与人文科学 ,48550篇,2007,7989,0
2014,   社会科学Ⅰ辑 ,79066篇,2007,7989,0
2014,   信息科技 ,153374篇,2008,16149,0
2014,   经济与管理科学 ,149797篇,2007,14121,0
2014,   社会科学Ⅱ辑 ,81324篇,2008,8324,0
2014,   基础科学 ,56819篇,2008,6473,0
2014,   工程科技Ⅰ辑 ,106664篇,2005,5446,0
2014,   工程科技Ⅱ辑 ,149897篇,2006,12002,0
2014,   农业科技 ,44670篇,2005,2609,0
2014,   医药卫生科技 ,48550篇,2005,1671,0
2014,   哲学与人文科学 ,48550篇,2005,4021,0
2014,   社会科学Ⅰ辑 ,79066篇,2005,4021,0
2014,   信息科技 ,153374篇,2006,11207,0
2014,   经济与管理科学 ,149797篇,2005,7238,0
2014,   社会科学Ⅱ辑 ,81324篇,2006,6033,0
2014,   基础科学 ,56819篇,2007,6044,0
2014,   工程科技Ⅰ辑 ,106664篇,2008,10706,0
2014,   工程科技Ⅱ辑 ,149897篇,2009,15395,0
2014,   农业科技 ,44670篇,2008,4598,0
2014,   医药卫生科技 ,48550篇,2008,4383,0
2014,   哲学与人文科学 ,48550篇,2008,7868,0
2014,   社会科学Ⅰ辑 ,79066篇,2008,7868,0
2014,   信息科技 ,153374篇,2009,17611,0
2014,   经济与管理科学 ,149797篇,2008,15701,0
2014,   社会科学Ⅱ辑 ,81324篇,2009,8107,0
2014,   基础科学 ,56819篇,2006,4793,0
2014,   工程科技Ⅰ辑 ,106664篇,2009,11089,0
2014,   工程科技Ⅱ辑 ,149897篇,2010,16735,0
2014,   农业科技 ,44670篇,2009,4669,0
2014,   医药卫生科技 ,48550篇,2009,5311,0
2014,   哲学与人文科学 ,48550篇,2009,7933,0
2014,   社会科学Ⅰ辑 ,79066篇,2009,7933,0
2014,   信息科技 ,153374篇,2010,18602,0
2014,   经济与管理科学 ,149797篇,2009,15952,0
2014,   社会科学Ⅱ辑 ,81324篇,2010,8970,0
2014,   基础科学 ,56819篇,2005,3132,0
2014,   工程科技Ⅰ辑 ,106664篇,2010,12683,0
2014,   工程科技Ⅱ辑 ,149897篇,2011,18034,0
2014,   农业科技 ,44670篇,2010,5167,0
2014,   医药卫生科技 ,48550篇,2010,6501,0
2014,   哲学与人文科学 ,48550篇,2010,9326,0
2014,   社会科学Ⅰ辑 ,79066篇,2010,9326,0
2014,   信息科技 ,153374篇,2011,19482,0
2014,   经济与管理科学 ,149797篇,2010,18842,0
2014,   社会科学Ⅱ辑 ,81324篇,2011,12047,0
2014,   基础科学 ,56819篇,2004,1992,0
2014,   工程科技Ⅰ辑 ,106664篇,2003,2065,0
2014,   工程科技Ⅱ辑 ,149897篇,2004,5723,0
2014,   农业科技 ,44670篇,2003,1193,0
2014,   医药卫生科技 ,48550篇,2003,665,0
2014,   哲学与人文科学 ,48550篇,2003,1793,0
2014,   社会科学Ⅰ辑 ,79066篇,2003,1793,0
2014,   信息科技 ,153374篇,2004,4383,0
2014,   经济与管理科学 ,149797篇,2003,2763,0
2014,   社会科学Ⅱ辑 ,81324篇,2004,2458,0
2014,   基础科学 ,56819篇,2003,1230,0
2014,   工程科技Ⅰ辑 ,106664篇,2004,3717,0
2014,   工程科技Ⅱ辑 ,149897篇,2005,8315,0
2014,   农业科技 ,44670篇,2004,1781,0
2014,   医药卫生科技 ,48550篇,2004,1028,0
2014,   哲学与人文科学 ,48550篇,2004,2983,0
2014,   社会科学Ⅰ辑 ,79066篇,2004,2983,0
2014,   信息科技 ,153374篇,2005,6756,0
2014,   经济与管理科学 ,149797篇,2004,4707,0
2014,   社会科学Ⅱ辑 ,81324篇,2005,3731,0
2014,   基础科学 ,56819篇,2002,829,0
2014,   工程科技Ⅰ辑 ,106664篇,2002,1299,0
2014,   工程科技Ⅱ辑 ,149897篇,2003,3196,0
2014,   农业科技 ,44670篇,2002,696,0
2014,   医药卫生科技 ,48550篇,2002,403,0
2014,   哲学与人文科学 ,48550篇,2002,1054,0
2014,   社会科学Ⅰ辑 ,79066篇,2002,1054,0
2014,   信息科技 ,153374篇,2003,2448,0
2014,   经济与管理科学 ,149797篇,2002,1513,0
2014,   社会科学Ⅱ辑 ,81324篇,2003,1673,0
2014,   基础科学 ,56819篇,2001,439,0
2014,   工程科技Ⅰ辑 ,106664篇,1998,15,0
2014,   工程科技Ⅱ辑 ,149897篇,1999,39,0
2014,   农业科技 ,44670篇,1998,8,0
2014,   医药卫生科技 ,48550篇,1998,5,0
2014,   哲学与人文科学 ,48550篇,1998,11,0
2014,   社会科学Ⅰ辑 ,79066篇,1998,11,0
2014,   信息科技 ,153374篇,1999,36,0
2014,   经济与管理科学 ,149797篇,1998,7,0
2014,   社会科学Ⅱ辑 ,81324篇,1999,6,0
2014,   基础科学 ,56819篇,2000,158,0
2014,   工程科技Ⅰ辑 ,106664篇,1999,22,0
2014,   工程科技Ⅱ辑 ,149897篇,2000,357,0
2014,   农业科技 ,44670篇,1999,16,0
2014,   医药卫生科技 ,48550篇,1999,8,0
2014,   哲学与人文科学 ,48550篇,1999,14,0
2014,   社会科学Ⅰ辑 ,79066篇,1999,14,0
2014,   信息科技 ,153374篇,2000,292,0
2014,   经济与管理科学 ,149797篇,1999,20,0
2014,   社会科学Ⅱ辑 ,81324篇,2000,135,0
2014,   基础科学 ,56819篇,1999,24,0
2014,   工程科技Ⅰ辑 ,106664篇,1996,11,0
2014,   工程科技Ⅱ辑 ,149897篇,1997,7,0
2014,   农业科技 ,44670篇,1996,6,0
2014,   医药卫生科技 ,48550篇,1996,5,0
2014,   哲学与人文科学 ,48550篇,1996,4,0
2014,   社会科学Ⅰ辑 ,79066篇,1996,4,0
2014,   信息科技 ,153374篇,1997,9,0
2014,   经济与管理科学 ,149797篇,1996,1,0
2014,   社会科学Ⅱ辑 ,81324篇,1997,3,0
2014,   基础科学 ,56819篇,1998,15,0
2014,   工程科技Ⅰ辑 ,106664篇,1997,20,0
2014,   工程科技Ⅱ辑 ,149897篇,1998,10,0
2014,   农业科技 ,44670篇,1997,5,0
2014,   医药卫生科技 ,48550篇,1997,4,0
2014,   哲学与人文科学 ,48550篇,1997,10,0
2014,   社会科学Ⅰ辑 ,79066篇,1997,10,0
2014,   信息科技 ,153374篇,1998,32,0
2014,   经济与管理科学 ,149797篇,1997,4,0
2014,   社会科学Ⅱ辑 ,81324篇,1998,2,0
2014,   基础科学 ,56819篇,1997,13,0
2014,   工程科技Ⅰ辑 ,106664篇,2000,208,0
2014,   工程科技Ⅱ辑 ,149897篇,2001,833,0
2014,   农业科技 ,44670篇,2000,198,0
2014,   医药卫生科技 ,48550篇,2000,50,0
2014,   哲学与人文科学 ,48550篇,2000,238,0
2014,   社会科学Ⅰ辑 ,79066篇,2000,238,0
2014,   信息科技 ,153374篇,2001,702,0
2014,   经济与管理科学 ,149797篇,2000,353,0
2014,   社会科学Ⅱ辑 ,81324篇,2001,498,0
2014,   基础科学 ,56819篇,1996,7,0
2014,   工程科技Ⅰ辑 ,106664篇,2001,541,0
2014,   工程科技Ⅱ辑 ,149897篇,2002,1845,0
2014,   农业科技 ,44670篇,2001,459,0
2014,   医药卫生科技 ,48550篇,2001,214,0
2014,   哲学与人文科学 ,48550篇,2001,617,0
2014,   社会科学Ⅰ辑 ,79066篇,2001,617,0
2014,   信息科技 ,153374篇,2002,1660,0
2014,   经济与管理科学 ,149797篇,2001,769,0
2014,   社会科学Ⅱ辑 ,81324篇,2002,869,0
2014,   基础科学 ,56819篇,1995,12,0
2014,   工程科技Ⅰ辑 ,106664篇,1995,8,0
2014,   工程科技Ⅱ辑 ,149897篇,1996,6,0
2014,   农业科技 ,44670篇,1995,1,0
2014,   医药卫生科技 ,48550篇,1995,8,0
2014,   哲学与人文科学 ,48550篇,1995,1,0
2014,   社会科学Ⅰ辑 ,79066篇,1995,1,0
2014,   信息科技 ,153374篇,1996,4,0
2014,   经济与管理科学 ,149797篇,1995,1,0
2014,   社会科学Ⅱ辑 ,81324篇,1994,1,0
