ID,被引年,科目,全部文献,被引类别,被引数量
416,2010,   经济与管理科学 ,72043篇,被CSSCI刊引用,16490
417,2011,   基础科学 ,92864篇,被CSSCI刊引用,19858
418,2011,   工程科技Ⅰ辑 ,58621篇,被CSSCI刊引用,2277
419,2011,   工程科技Ⅱ辑 ,58621篇,被CSSCI刊引用,2277
420,2011,   农业科技 ,26233篇,被CSSCI刊引用,979
421,2011,   医药卫生科技 ,20359篇,被CSSCI刊引用,560
422,2011,   哲学与人文科学 ,20359篇,被CSSCI刊引用,560
423,2011,   社会科学Ⅰ辑 ,40164篇,被CSSCI刊引用,6014
424,2011,   信息科技 ,94970篇,被CSSCI刊引用,4755
425,2011,   经济与管理科学 ,92864篇,被CSSCI刊引用,19858
426,2012,   基础科学 ,44421篇,被CSSCI刊引用,3392
427,2012,   工程科技Ⅰ辑 ,77614篇,被CSSCI刊引用,2787
428,2012,   工程科技Ⅱ辑 ,110010篇,被CSSCI刊引用,3530
429,2012,   农业科技 ,33327篇,被CSSCI刊引用,1130
430,2012,   医药卫生科技 ,29330篇,被CSSCI刊引用,684
431,2012,   哲学与人文科学 ,29330篇,被CSSCI刊引用,684
432,2012,   社会科学Ⅰ辑 ,59344篇,被CSSCI刊引用,11207
433,2012,   信息科技 ,119011篇,被CSSCI刊引用,5655
434,2012,   经济与管理科学 ,117445篇,被CSSCI刊引用,23153
435,2013,   基础科学 ,48947篇,被CSSCI刊引用,3639
436,2013,   工程科技Ⅰ辑 ,89061篇,被CSSCI刊引用,3144
437,2013,   工程科技Ⅱ辑 ,89061篇,被CSSCI刊引用,3144
438,2013,   农业科技 ,37238篇,被CSSCI刊引用,1209
439,2013,   医药卫生科技 ,37238篇,被CSSCI刊引用,1209
440,2013,   哲学与人文科学 ,69191篇,被CSSCI刊引用,12419
441,2013,   信息科技 ,132947篇,被CSSCI刊引用,6223
442,2013,   经济与管理科学 ,132887篇,被CSSCI刊引用,25120
443,2014,   基础科学 ,56819篇,被CSSCI刊引用,3895
444,2014,   工程科技Ⅰ辑 ,106664篇,被CSSCI刊引用,3641
445,2014,   工程科技Ⅱ辑 ,149897篇,被CSSCI刊引用,4444
446,2014,   农业科技 ,44670篇,被CSSCI刊引用,1462
447,2014,   医药卫生科技 ,48550篇,被CSSCI刊引用,970
448,2014,   哲学与人文科学 ,48550篇,被CSSCI刊引用,970
449,2014,   社会科学Ⅰ辑 ,79066篇,被CSSCI刊引用,13280
450,2014,   信息科技 ,153374篇,被CSSCI刊引用,7015
451,2014,   经济与管理科学 ,149797篇,被CSSCI刊引用,27171
452,2015,   基础科学 ,65543篇,被CSSCI刊引用,4044
453,2015,   工程科技Ⅰ辑 ,130394篇,被CSSCI刊引用,4027
454,2015,   工程科技Ⅱ辑 ,176350篇,被CSSCI刊引用,4957
455,2015,   农业科技 ,55482篇,被CSSCI刊引用,1662
456,2015,   医药卫生科技 ,65215篇,被CSSCI刊引用,1093
457,2015,   哲学与人文科学 ,92786篇,被CSSCI刊引用,14457
458,2015,   信息科技 ,168256篇,被CSSCI刊引用,7618
459,2015,   经济与管理科学 ,165738篇,被CSSCI刊引用,28568
460,2016,   基础科学 ,74965篇,被CSSCI刊引用,4205
461,2016,   工程科技Ⅰ辑 ,152903篇,被CSSCI刊引用,4356
462,2016,   工程科技Ⅱ辑 ,203268篇,被CSSCI刊引用,5260
463,2016,   农业科技 ,65171篇,被CSSCI刊引用,1805
464,2016,   医药卫生科技 ,82594篇,被CSSCI刊引用,1196
465,2016,   哲学与人文科学 ,111926篇,被CSSCI刊引用,15742
466,2016,   信息科技 ,186994篇,被CSSCI刊引用,8149
467,2016,   经济与管理科学 ,185613篇,被CSSCI刊引用,29745
468,2017,   基础科学 ,80138篇,被CSSCI刊引用,4259
469,2017,   工程科技Ⅰ辑 ,166588篇,被CSSCI刊引用,4529
470,2017,   工程科技Ⅱ辑 ,223606篇,被CSSCI刊引用,5395
471,2017,   农业科技 ,68734篇,被CSSCI刊引用,1818
472,2017,   医药卫生科技 ,94618篇,被CSSCI刊引用,1239
473,2017,   哲学与人文科学 ,126938篇,被CSSCI刊引用,16542
474,2017,   社会科学Ⅰ辑 ,79582篇,被CSSCI刊引用,9670
475,2017,   信息科技 ,192703篇,被CSSCI刊引用,8264
476,2017,   经济与管理科学 ,190236篇,被CSSCI刊引用,29053
477,2018,   基础科学 ,77065篇,被CSSCI刊引用,3816
478,2018,   工程科技Ⅰ辑 ,162051篇,被CSSCI刊引用,4081
479,2018,   工程科技Ⅱ辑 ,216395篇,被CSSCI刊引用,4898
480,2018,   农业科技 ,70178篇,被CSSCI刊引用,1686
481,2018,   医药卫生科技 ,95157篇,被CSSCI刊引用,1210
482,2018,   哲学与人文科学 ,123240篇,被CSSCI刊引用,15315
483,2018,   信息科技 ,174519篇,被CSSCI刊引用,7404
484,2018,   经济与管理科学 ,171798篇,被CSSCI刊引用,25139
485,2009,   哲学与人文科学 ,19018篇,被CSSCI刊引用,4930
486,2009,   社会科学Ⅱ辑 ,21323篇,被CSSCI刊引用,5892
487,2010,   哲学与人文科学 ,32867篇,被CSSCI刊引用,7400
488,2010,   社会科学Ⅱ辑 ,32525篇,被CSSCI刊引用,8213
489,2011,   社会科学Ⅱ辑 ,46014篇,被CSSCI刊引用,10229
490,2012,   社会科学Ⅱ辑 ,56178篇,被CSSCI刊引用,11937
491,2013,   社会科学Ⅰ辑 ,53735篇,被CSSCI刊引用,7642
492,2013,   社会科学Ⅱ辑 ,67130篇,被CSSCI刊引用,13023
493,2014,   社会科学Ⅱ辑 ,81324篇,被CSSCI刊引用,14337
494,2015,   社会科学Ⅰ辑 ,66871篇,被CSSCI刊引用,9100
495,2015,   社会科学Ⅱ辑 ,97550篇,被CSSCI刊引用,15731
496,2016,   社会科学Ⅰ辑 ,76691篇,被CSSCI刊引用,9626
497,2016,   社会科学Ⅱ辑 ,115100篇,被CSSCI刊引用,16896
498,2017,   社会科学Ⅱ辑 ,130856篇,被CSSCI刊引用,17261
499,2018,   社会科学Ⅰ辑 ,69907篇,被CSSCI刊引用,8331
500,2018,   社会科学Ⅱ辑 ,132763篇,被CSSCI刊引用,16027
